SIT_MATRICULA,PAI_FALECIDO,MAE_FALECIDO,RENDA_FAMILIAR,TIPO_ESCOLA_ORIGEM,ANO_CONCLUSAO_2_GRAU,RENDA_PER_CAPITA,COD_ESTADO_CIVIL,N_FILHOS,SEXO,PROFISSAO,DESC_CIDADE,DESC_ESTADO,DESC_IDIOMA,NIVEL_FALA,NIVEL_COMPREENSAO,NIVEL_ESCRITA,NIVEL_LEITURA,NOTAS,N_FALTAS,COD_DISCIPLINA,CARGA_HOR,ANO_INGRESSO,IDADE_INGRESSO
0,0.0,0.0,0.0,E,,10.0,S,0.0,F,,Aparecida de Goiânia,Goiás,,,,,,6.00,0.0,648,54,2015,17.0
10,0.0,0.0,0.0,P,2014.0,10.0,S,0.0,M,,Goiânia,Goiás,,,,,,0.00,66.0,648,54,2015,17.0
0,0.0,0.0,0.0,P,2014.0,10.0,S,0.0,M,,Anápolis,Goiás,Inglês,3.0,3.0,2.0,3.0,6.70,0.0,648,54,2015,18.0
0,0.0,0.0,0.0,P,2014.0,0.0,,0.0,M,,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,8.00,0.0,648,54,2015,18.0
0,0.0,0.0,0.0,E,2014.0,0.0,,0.0,M,,Goiânia,Goiás,,,,,,6.70,0.0,648,54,2015,17.0
9,0.0,0.0,,P,2014.0,,S,,F,,Goiânia,Goiás,,,,,,0.00,66.0,648,54,2015,17.0
0,0.0,0.0,0.0,P,2014.0,10.0,S,0.0,F,,Goiânia,Goiás,,,,,,6.70,0.0,648,54,2015,18.0
10,0.0,0.0,,E,2009.0,10.0,S,0.0,M,,Goiânia,Goiás,,,,,,7.20,0.0,648,54,2015,23.0
0,0.0,0.0,,P,2013.0,,S,,F,,Goiânia,Goiás,,,,,,6.00,0.0,648,54,2015,19.0
0,0.0,0.0,0.0,E,2006.0,10.0,S,0.0,M,,Goiânia,Goiás,Inglês,1.0,1.0,1.0,1.0,10.00,0.0,648,54,2015,27.0
0,0.0,0.0,0.0,I,2013.0,10.0,S,0.0,M,,Goiânia,Goiás,,,,,,7.60,0.0,648,54,2014,19.0
0,0.0,0.0,0.0,E,2013.0,10.0,S,0.0,F,,Goiânia,Goiás,,,,,,6.00,0.0,648,54,2014,18.0
0,0.0,0.0,0.0,E,2014.0,10.0,,0.0,M,,Itapuranga,Goiás,,,,,,6.00,0.0,648,54,2014,17.0
0,0.0,0.0,0.0,P,2013.0,10.0,,0.0,M,,Goiânia,Goiás,Inglês,2.0,2.0,3.0,2.0,6.00,0.0,648,54,2014,18.0
11,0.0,0.0,0.0,P,2013.0,10.0,,0.0,M,,Goiânia,Goiás,,,,,,8.50,0.0,648,54,2014,18.0
9,0.0,0.0,0.0,E,2007.0,10.0,,0.0,M,,Goiânia,Goiás,,,,,,0.00,0.0,648,54,2014,23.0
